Dataset,Vox_ID,VGGFace2_ID,Celebrity_Name,Gender,Nationality_Country,Audio_Preset_Folder,Audio_Sample_Path
VoxCeleb1,id10044,N/A,America Ferrera,Female,USA,vox_America_Ferrera_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_America_Ferrera_female\reference.wav
VoxCeleb1,id10045,N/A,Amitabh Bachchan,Male,INDIA,vox_Amitabh_Bachchan_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Amitabh_Bachchan_male\reference.wav
VoxCeleb1,id10046,N/A,Amy Poehler,Female,USA,vox_Amy_Poehler_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Amy_Poehler_female\reference.wav
VoxCeleb1,id10047,N/A,Amy Schumer,Female,USA,vox_Amy_Schumer_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Amy_Schumer_female\reference.wav
VoxCeleb1,id10048,N/A,Ana Gasteyer,Female,USA,vox_Ana_Gasteyer_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ana_Gasteyer_female\reference.wav
VoxCeleb1,id10049,N/A,Andre Braugher,Male,USA,vox_Andre_Braugher_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andre_Braugher_male\reference.wav
VoxCeleb1,id10050,N/A,Andrea Riseborough,Female,UK,vox_Andrea_Riseborough_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andrea_Riseborough_female\reference.wav
VoxCeleb1,id10051,N/A,Andrew Dice Clay,Male,USA,vox_Andrew_Dice_Clay_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andrew_Dice_Clay_male\reference.wav
VoxCeleb1,id10052,N/A,Andrew Garfield,Male,USA,vox_Andrew_Garfield_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andrew_Garfield_male\reference.wav
VoxCeleb1,id10053,N/A,Andrew Lee Potts,Male,UK,vox_Andrew_Lee_Potts_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andrew_Lee_Potts_male\reference.wav
VoxCeleb1,id10054,N/A,Andrew Rannells,Male,USA,vox_Andrew_Rannells_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andrew_Rannells_male\reference.wav
VoxCeleb1,id10055,N/A,Andrew Scott,Male,IRELAND,vox_Andrew_Scott_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andrew_Scott_male\reference.wav
VoxCeleb1,id10056,N/A,Andy Richter,Male,USA,vox_Andy_Richter_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andy_Richter_male\reference.wav
VoxCeleb1,id10057,N/A,Andy Samberg,Male,USA,vox_Andy_Samberg_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Andy_Samberg_male\reference.wav
VoxCeleb1,id10058,N/A,Aneurin Barnard,Male,UK,vox_Aneurin_Barnard_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Aneurin_Barnard_male\reference.wav
VoxCeleb1,id10059,N/A,Ang Lee,Male,USA,vox_Ang_Lee_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ang_Lee_male\reference.wav
VoxCeleb1,id10060,N/A,Angela Kinsey,Female,USA,vox_Angela_Kinsey_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Angela_Kinsey_female\reference.wav
VoxCeleb1,id10061,N/A,Anne Hathaway,Female,USA,vox_Anne_Hathaway_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Anne_Hathaway_female\reference.wav
VoxCeleb1,id10062,N/A,Ansel Elgort,Male,USA,vox_Ansel_Elgort_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ansel_Elgort_male\reference.wav
VoxCeleb1,id10063,N/A,Anthony Anderson,Male,USA,vox_Anthony_Anderson_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Anthony_Anderson_male\reference.wav
VoxCeleb1,id10064,N/A,Anthony Mackie,Male,USA,vox_Anthony_Mackie_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Anthony_Mackie_male\reference.wav
VoxCeleb1,id10065,N/A,Anthony Rapp,Male,USA,vox_Anthony_Rapp_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Anthony_Rapp_male\reference.wav
VoxCeleb1,id10066,N/A,Anton Yelchin,Male,USA,vox_Anton_Yelchin_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Anton_Yelchin_male\reference.wav
VoxCeleb1,id10067,N/A,Antonio Cupo,Male,CANADA,vox_Antonio_Cupo_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Antonio_Cupo_male\reference.wav
VoxCeleb1,id10068,N/A,Arden Cho,Female,USA,vox_Arden_Cho_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Arden_Cho_female\reference.wav
VoxCeleb1,id10069,N/A,Armand Assante,Male,USA,vox_Armand_Assante_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Armand_Assante_male\reference.wav
VoxCeleb1,id10070,N/A,Armie Hammer,Male,USA,vox_Armie_Hammer_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Armie_Hammer_male\reference.wav
VoxCeleb1,id10071,N/A,Asa Butterfield,Male,UK,vox_Asa_Butterfield_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Asa_Butterfield_male\reference.wav
VoxCeleb1,id10072,N/A,Ashley Greene,Female,USA,vox_Ashley_Greene_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ashley_Greene_female\reference.wav
VoxCeleb1,id10073,N/A,Ashley Jensen,Female,UK,vox_Ashley_Jensen_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ashley_Jensen_female\reference.wav
VoxCeleb1,id10074,N/A,Audra McDonald,Female,USA,vox_Audra_McDonald_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Audra_McDonald_female\reference.wav
VoxCeleb1,id10075,N/A,Audrina Patridge,Female,USA,vox_Audrina_Patridge_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Audrina_Patridge_female\reference.wav
VoxCeleb1,id10076,N/A,Avan Jogia,Male,CANADA,vox_Avan_Jogia_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Avan_Jogia_male\reference.wav
VoxCeleb1,id10077,N/A,B.J. Novak,Male,USA,vox_B_J__Novak_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_B_J__Novak_male\reference.wav
VoxCeleb1,id10078,N/A,Barbara Eden,Female,USA,vox_Barbara_Eden_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Barbara_Eden_female\reference.wav
VoxCeleb1,id10079,N/A,Barbara Hershey,Female,USA,vox_Barbara_Hershey_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Barbara_Hershey_female\reference.wav
VoxCeleb1,id10080,N/A,Bear Grylls,Male,UK,vox_Bear_Grylls_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bear_Grylls_male\reference.wav
VoxCeleb1,id10081,N/A,Bellamy Young,Female,USA,vox_Bellamy_Young_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bellamy_Young_female\reference.wav
VoxCeleb1,id10082,N/A,Ben Feldman,Male,USA,vox_Ben_Feldman_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ben_Feldman_male\reference.wav
VoxCeleb1,id10083,N/A,Ben McKenzie,Male,USA,vox_Ben_McKenzie_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ben_McKenzie_male\reference.wav
VoxCeleb1,id10084,N/A,Ben Stiller,Male,USA,vox_Ben_Stiller_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ben_Stiller_male\reference.wav
VoxCeleb1,id10085,N/A,Ben Whishaw,Male,UK,vox_Ben_Whishaw_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Ben_Whishaw_male\reference.wav
VoxCeleb1,id10086,N/A,Beth Grant,Female,USA,vox_Beth_Grant_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Beth_Grant_female\reference.wav
VoxCeleb1,id10087,N/A,Bethany Mota,Female,USA,vox_Bethany_Mota_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bethany_Mota_female\reference.wav
VoxCeleb1,id10088,N/A,Betty White,Female,USA,vox_Betty_White_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Betty_White_female\reference.wav
VoxCeleb1,id10089,N/A,Bill Nighy,Male,UK,vox_Bill_Nighy_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bill_Nighy_male\reference.wav
VoxCeleb1,id10090,N/A,Bill Pullman,Male,USA,vox_Bill_Pullman_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bill_Pullman_male\reference.wav
VoxCeleb1,id10091,N/A,Billie Joe Armstrong,Male,USA,vox_Billie_Joe_Armstrong_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Billie_Joe_Armstrong_male\reference.wav
VoxCeleb1,id10092,N/A,Bingbing Li,Female,CHINA,vox_Bingbing_Li_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bingbing_Li_female\reference.wav
VoxCeleb1,id10093,N/A,Blair Underwood,Male,USA,vox_Blair_Underwood_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Blair_Underwood_male\reference.wav
VoxCeleb1,id10094,N/A,Blake Michael,Male,USA,vox_Blake_Michael_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Blake_Michael_male\reference.wav
VoxCeleb1,id10095,N/A,Blake Shelton,Male,USA,vox_Blake_Shelton_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Blake_Shelton_male\reference.wav
VoxCeleb1,id10096,N/A,Bob Barker,Male,USA,vox_Bob_Barker_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bob_Barker_male\reference.wav
VoxCeleb1,id10097,N/A,Bobby Cannavale,Male,USA,vox_Bobby_Cannavale_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bobby_Cannavale_male\reference.wav
VoxCeleb1,id10098,N/A,Bonnie Wright,Female,UK,vox_Bonnie_Wright_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bonnie_Wright_female\reference.wav
VoxCeleb1,id10099,N/A,Booboo Stewart,Male,USA,vox_Booboo_Stewart_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Booboo_Stewart_male\reference.wav
VoxCeleb1,id10100,N/A,Brad Paisley,Male,USA,vox_Brad_Paisley_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brad_Paisley_male\reference.wav
VoxCeleb1,id10101,N/A,Bradley Steven Perry,Male,USA,vox_Bradley_Steven_Perry_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bradley_Steven_Perry_male\reference.wav
VoxCeleb1,id10102,N/A,Breckin Meyer,Male,USA,vox_Breckin_Meyer_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Breckin_Meyer_male\reference.wav
VoxCeleb1,id10103,N/A,Brenda Blethyn,Female,UK,vox_Brenda_Blethyn_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brenda_Blethyn_female\reference.wav
VoxCeleb1,id10104,N/A,Brendan Gleeson,Male,IRELAND,vox_Brendan_Gleeson_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brendan_Gleeson_male\reference.wav
VoxCeleb1,id10105,N/A,Brett Davern,Male,USA,vox_Brett_Davern_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brett_Davern_male\reference.wav
VoxCeleb1,id10106,N/A,Brian Blessed,Male,UK,vox_Brian_Blessed_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brian_Blessed_male\reference.wav
VoxCeleb1,id10107,N/A,Brian Cox,Male,UK,vox_Brian_Cox_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brian_Cox_male\reference.wav
VoxCeleb1,id10108,N/A,Brian Dennehy,Male,USA,vox_Brian_Dennehy_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brian_Dennehy_male\reference.wav
VoxCeleb1,id10109,N/A,Bridget Moynahan,Female,USA,vox_Bridget_Moynahan_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bridget_Moynahan_female\reference.wav
VoxCeleb1,id10110,N/A,Bridget Regan,Female,USA,vox_Bridget_Regan_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bridget_Regan_female\reference.wav
VoxCeleb1,id10111,N/A,Brit Marling,Female,USA,vox_Brit_Marling_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brit_Marling_female\reference.wav
VoxCeleb1,id10112,N/A,Brooke Burke-Charvet,Female,USA,vox_Brooke_Burke-Charvet_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Brooke_Burke-Charvet_female\reference.wav
VoxCeleb1,id10113,N/A,Bruce Boxleitner,Male,USA,vox_Bruce_Boxleitner_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bruce_Boxleitner_male\reference.wav
VoxCeleb1,id10114,N/A,Bruno Ganz,Male,SWITZERLAND,vox_Bruno_Ganz_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bruno_Ganz_male\reference.wav
VoxCeleb1,id10115,N/A,Bruno Mars,Male,USA,vox_Bruno_Mars_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Bruno_Mars_male\reference.wav
VoxCeleb1,id10116,N/A,Burt Reynolds,Male,USA,vox_Burt_Reynolds_male,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Burt_Reynolds_male\reference.wav
VoxCeleb1,id10117,N/A,CCH Pounder,Female,GUYANA,vox_CCH_Pounder_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_CCH_Pounder_female\reference.wav
VoxCeleb1,id10118,N/A,Caitriona Balfe,Female,IRELAND,vox_Caitriona_Balfe_female,U:\Reel-Maker-Antigravity-Locallly-no-8n\scripts\models\ChatterboxTrainingAudioSamples\vox_Caitriona_Balfe_female\reference.wav
